id,hypothesis_category,text,expected_label,rationale,predicted_label,predicted_probability,correct
1,negation,The latest update did not improve battery life at all.,negative,This negates the strong positive cue improve so the model has to use the phrase did not rather than the cue word alone.,negative,0.8781931400299072,True
2,lexical_trigger,This app is no longer reliable on my phone.,negative,The positive trigger reliable is reversed by no longer so the example tests cue-word reliance against local context.,negative,0.9566648006439209,True
3,domain_shift,The team won the championship final last weekend.,neutral,This sports sentence contains a positive event but no app-review opinion so a review-trained model should treat it as neutral.,neutral,0.3607080280780792,True
4,negation,I do not hate the new layout anymore.,positive,The negative cue hate is cancelled by do not and anymore so the intended sentiment is mild approval.,negative,0.9319280982017517,False
5,negation,The checkout screen never crashes now.,positive,The negative app cue crashes appears with never and now so the sentence praises a fixed failure.,negative,0.5398290753364563,False
6,negation,The reminder feature is not bad for quick errands.,positive,This uses not bad rather than an explicit positive adjective to test whether the model can infer a weak positive.,neutral,0.6324677467346191,False
7,negation,I would not recommend this app to anyone.,negative,The positive cue recommend is inside a negated recommendation which should make the review clearly negative.,negative,0.8527162671089172,True
8,negation,Nothing about the redesign feels broken anymore.,positive,The negative cue broken is negated by nothing and anymore so the sentence reports a repair.,neutral,0.6732673048973083,False
9,lexical_trigger,The word excellent only appears in the fake ads this app keeps showing.,negative,The strong positive cue excellent is quoted as ad copy while the actual complaint is about fake ads.,neutral,0.6208392977714539,False
10,lexical_trigger,It promises amazing rewards but charges a fee before anything works.,negative,The positive cue amazing is part of a promise that is contradicted by the later fee and failure.,positive,0.8388262391090393,False
11,lexical_trigger,A bad review would be unfair because the tracker finally syncs.,positive,The negative cue bad appears in a rejected review frame while the real opinion praises syncing.,negative,0.8774022459983826,False
12,lexical_trigger,The crash report says success while the upload still fails.,negative,The positive cue success appears as a status label but the user outcome is still a failed upload.,neutral,0.5534126162528992,False
13,lexical_trigger,I wanted to love it but the calendar deletes my events.,negative,The positive cue love is only an unrealized wish and the concrete behavior is data loss.,neutral,0.5053241848945618,False
14,domain_shift,Stocks drifted lower after the central bank held rates steady.,neutral,This financial-news sentence has words like lower but it is not an app opinion.,negative,0.5186176300048828,False
15,domain_shift,Bake the crust until the edges are golden and the center sets.,neutral,This recipe instruction includes golden which can look positive but it is descriptive rather than sentimental.,neutral,0.7006942629814148,True
16,domain_shift,The witness described a blue sedan leaving the parking lot.,neutral,This news-style observation has no praise or complaint and should not inherit app-review polarity.,negative,0.48979270458221436,False
17,domain_shift,The striker missed two penalties before halftime.,neutral,This sports report contains a bad event for a player but no reviewer sentiment about a product.,neutral,0.4171067476272583,True
18,domain_shift,Mix two teaspoons of yeast into warm water before adding flour.,neutral,This procedural cooking sentence should be neutral despite action words that differ from app-review prose.,positive,0.5429584980010986,False
19,length_extreme,Works. No complaints.,positive,This very short review gives only two compact positive signals and tests whether the model handles minimal context.,positive,0.5718286633491516,True
20,length_extreme,Still broken today.,negative,This three-word review has a terse negative judgment with almost no surrounding syntax.,neutral,0.4756985306739807,False
21,length_extreme,Fine for now.,neutral,This three-word review is deliberately lukewarm so the model must avoid forcing it into strong praise or complaint.,neutral,0.7025864124298096,True
22,length_extreme,After installing the update I opened the budget screen five different times and each time the balances loaded slowly then froze before I could save a note which matters because I use this app at the end of every shift to track cash tips and now I cannot trust it.,negative,This 50-plus-word review delays the decisive complaint until the end and tests whether long context washes out the negative outcome.,negative,0.7976263761520386,True
23,length_extreme,I expected the migration to be painful because I had years of notes and photos stored in the old version but the transfer finished on the first try the search index rebuilt overnight and every shared folder opened correctly for my team this morning.,positive,This long review contains early worry but ends with several successful outcomes so the model must integrate the full span.,neutral,0.5742238759994507,False
24,length_extreme,The new dashboard has a wider chart an extra filter and a different export button but my daily workflow takes about the same amount of time as before and I have not noticed a meaningful improvement or a new problem after a week.,neutral,This long review lists many product details while explicitly landing on no meaningful change.,neutral,0.6729053854942322,True
25,sarcasm,Fantastic work turning a two tap payment into a ten minute chore.,negative,The surface praise fantastic work is sarcastic because the concrete effect is a slower payment flow.,positive,0.9269930720329285,False
26,sarcasm,Love waiting through three loading screens just to see an error.,negative,The positive verb love is used sarcastically before an obviously frustrating loading and error sequence.,positive,0.8888182640075684,False
27,sarcasm,Best alarm app ever if your goal is sleeping through meetings.,negative,The phrase best ever is inverted by the condition that the alarm fails at its core job.,positive,0.8896917104721069,False
28,sarcasm,Thanks for removing the one button I used every day.,negative,The polite thanks conflicts with a complaint about losing an essential control.,positive,0.6921343207359314,False
29,sarcasm,Perfect update the app now forgets my password every morning.,negative,The positive word perfect is sarcastic because the described update creates a repeated login failure.,positive,0.9133323431015015,False
30,sarcasm,What a delightful way to lose all my saved recipes.,negative,The positive adjective delightful is ironic because the actual event is losing saved data.,positive,0.8672537207603455,False
31,other,The interface looks cleaner but exporting reports still fails when I need it.,negative,Other tests mixed sentiment where cosmetic praise competes with a task-blocking failure that should dominate.,neutral,0.824515163898468,False
32,other,I only use the free timer and for that one job it is accurate.,positive,Other tests narrow-scope praise where the user limits the claim but gives a clear positive judgment for one feature.,neutral,0.6859040856361389,False
33,other,Support answered quickly but told me the missing data cannot be recovered.,negative,Other tests mixed service sentiment where fast support is outweighed by permanent data loss.,neutral,0.6683400869369507,False
